p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
7.753307263242308e-270,1.3416187532729982,0.998,0.99,2.266756911481521e-265,PLCG2
2.3526187818505754e-225,0.7545228585611559,0.502,0.076,6.878116270618342e-221,CYP4B1
5.573581826974999e-216,1.121802191852414,0.936,0.553,1.6294923829344107e-211,TXNIP
2.393001072065426e-194,1.1625432907966684,0.751,0.277,6.996177934290479e-190,CALCRL
2.638811311514201e-187,0.7694727501028428,0.432,0.066,7.714828750342918e-183,GALNT15
3.7613285714969694e-173,0.9452400593242214,0.438,0.08,1.099662021162854e-168,ADIRF
6.382954217117592e-156,1.3870053648292127,0.566,0.177,1.8661204949164994e-151,ABCB1
1.612819610935773e-154,0.7749599125528582,0.429,0.087,4.715239414531826e-150,RUNDC3B
3.2131128548160234e-154,1.1978367942383192,0.938,0.819,9.393856742340126e-150,SYNE1
1.2016874448402858e-151,0.8564841952335893,0.756,0.355,3.5132534137350595e-147,GNG11
8.10704919209392e-149,-1.240022566459658,0,0.438,2.3701769018005784e-144,XIST
5.449275861218059e-148,-1.2185621365683543,0.176,0.602,1.5931502907857118e-143,CLDN5
4.1269348342723404e-141,-2.0469111067147785,0.3,0.666,1.2065506681478615e-136,ADAMTS9
5.321868017594509e-140,0.9577665766752075,0.947,0.775,1.5559013336239306e-135,SPARCL1
2.2607899985611842e-136,0.5422908228830645,0.38,0.069,6.609645639793479e-132,UTY
6.273034936826556e-136,1.034585558044095,0.622,0.239,1.833984494130612e-131,RUNX1T1
3.2724655090029175e-132,0.9351684570489032,0.923,0.654,9.56738016212093e-128,MT-ND3
5.531541305010633e-128,0.8210547279160507,0.671,0.299,1.6172014159329085e-123,S100A10
7.39847810765749e-123,-1.1456844811958435,0.579,0.807,2.163019059554744e-118,PLEKHG1
7.177314018736392e-120,0.9225068497955203,0.611,0.257,2.0983595265177715e-115,EPHA4
2.1601967710070562e-119,-1.1304030529475866,0.477,0.769,6.31555127971623e-115,ABLIM3
